t	x_d	y_d	theta_d	Vr	oz	Vdot
7.900000	1.580000	0.000000	0.000000	0.200000	0.000000	0.000000
8.000000	1.600000	0.000000	0.000000	0.200000	0.000000	0.000000
8.100000	1.620000	0.000000	0.000000	0.200000	0.000000	0.000000
8.200000	1.640000	0.000000	0.000000	0.200000	0.000000	0.000000
8.300000	1.660000	0.000000	0.000000	0.200000	0.000000	0.000000
8.400000	1.680000	0.000000	0.000000	0.200000	0.000000	0.000000
8.500000	1.700000	0.000000	0.000000	0.200000	0.000000	0.000000
8.600000	1.720000	0.000000	0.000000	0.200000	0.000000	0.000000
8.700000	1.740000	0.000000	0.000000	0.200000	0.000000	0.000000
8.800000	1.760000	0.000000	0.000000	0.200000	0.000000	0.000000
8.900000	1.780000	0.000000	0.000000	0.200000	0.000000	0.000000
9.000000	1.800000	0.000000	0.000000	0.200000	0.000000	0.000000
9.100000	1.820000	0.000000	0.000000	0.200000	0.000000	0.000000
9.200000	1.840000	0.000000	0.000000	0.200000	0.000000	0.000000
9.300000	1.860000	0.000000	0.000000	0.200000	0.000000	0.000000
9.400000	1.880000	0.000000	0.000000	0.200000	0.000000	0.000000
9.500000	1.900000	0.000000	0.000000	0.200000	0.000000	0.000000
9.600000	1.920000	0.000000	0.000000	0.200000	0.000000	0.000000
9.700000	1.940000	0.000000	0.000000	0.200000	0.000000	0.000000
9.800000	1.960000	0.000000	0.000000	0.200000	0.000000	0.000000
9.900000	1.980000	0.000000	0.000000	0.200000	0.000000	0.000000
10.000000	2.000000	0.000000	0.000000	0.200000	0.000000	0.000000
10.100000	2.020000	0.000000	0.000000	0.200000	0.000000	0.000000
10.200000	2.040000	0.000000	0.000000	0.200000	0.000000	0.000000
10.300000	2.060000	0.000000	0.000000	0.200000	0.000000	0.000000
10.400000	2.080000	0.000000	0.000000	0.200000	0.000000	0.000000
10.500000	2.100000	0.000000	0.000000	0.200000	0.000000	0.000000
10.600000	2.120000	0.000000	0.000000	0.200000	0.000000	0.000000
10.700000	2.140000	0.000000	0.000000	0.200000	0.000000	0.000000
10.800000	2.160000	0.000000	0.000000	0.200000	0.000000	0.000000
10.900000	2.180000	0.000000	0.000000	0.200000	0.000000	0.000000
11.000000	2.200000	0.000000	0.000000	0.200000	0.000000	0.000000
11.100000	2.220000	0.000000	0.000000	0.200000	0.000000	0.000000
11.200000	2.240000	0.000000	0.000000	0.200000	0.000000	0.000000
11.300000	2.260000	0.000000	0.000000	0.200000	0.000000	0.000000
11.400000	2.280000	0.000000	0.000000	0.200000	0.000000	0.000000
11.500000	2.300000	0.000000	0.000000	0.200000	0.000000	0.000000
11.600000	2.320000	0.000000	0.000000	0.200000	0.000000	0.000000
11.700000	2.340000	0.000000	0.000000	0.200000	0.000000	0.000000
11.800000	2.360000	0.000000	0.000000	0.200000	0.000000	0.000000
11.900000	2.380000	0.000000	0.000000	0.200000	0.000000	0.000000
12.000000	2.400000	0.000000	0.000000	0.200000	0.000000	0.000000
12.100000	2.420000	0.000000	0.000000	0.200000	0.000000	0.000000
12.200000	2.440000	0.000000	0.000000	0.200000	0.000000	0.000000
12.300000	2.460000	0.000000	0.000000	0.200000	0.000000	0.000000
12.400000	2.480000	0.000000	0.000000	0.200000	0.000000	0.000000
12.500000	2.500000	0.000000	0.000000	0.200000	0.000000	0.000000
12.600000	2.520000	0.000000	0.000000	0.200000	0.000000	0.000000
12.700000	2.540000	0.000000	0.000000	0.200000	0.000000	0.000000
12.800000	2.560000	0.000000	0.000000	0.200000	0.000000	0.000000
12.900000	2.580000	0.000000	0.000000	0.200000	0.000000	0.000000
13.000000	2.600000	0.000000	0.000000	0.200000	0.000000	0.000000
13.100000	2.620000	0.000000	0.000000	0.200000	0.000000	0.000000
13.200000	2.640000	0.000000	0.000000	0.200000	0.000000	0.000000
13.300000	2.660000	0.000000	0.000000	0.200000	0.000000	0.000000
13.400000	2.680000	0.000000	0.000000	0.200000	0.000000	0.000000
13.500000	2.700000	0.000000	0.000000	0.200000	0.000000	0.000000
13.600000	2.720000	0.000000	0.000000	0.200000	0.000000	0.000000
13.700000	2.740000	0.000000	0.000000	0.200000	0.000000	0.000000
13.800000	2.760000	0.000000	0.000000	0.200000	0.000000	0.000000
13.900000	2.780000	0.000000	0.000000	0.200000	0.000000	0.000000
14.000000	2.800000	0.000000	0.000000	0.200000	0.000000	0.000000
14.100000	2.820000	0.000000	0.000000	0.200000	0.000000	0.000000
14.200000	2.840000	0.000000	0.000000	0.200000	0.000000	0.000000
14.300000	2.860000	0.000000	0.000000	0.200000	0.000000	0.000000
14.400000	2.880000	0.000000	0.000000	0.200000	0.000000	0.000000
14.500000	2.900000	0.000000	0.000000	0.200000	0.000000	0.000000
14.600000	2.920000	0.000000	0.000000	0.200000	0.000000	0.000000
14.700000	2.940000	0.000000	0.000000	0.200000	0.000000	0.000000
14.800000	2.960000	0.000000	0.000000	0.200000	0.000000	0.000000
14.900000	2.980000	0.000000	0.000000	0.200000	0.000000	0.000000
15.000000	3.000000	0.000000	0.000000	0.200000	0.000000	0.000000
15.100000	3.020000	0.000000	0.000000	0.200000	0.000000	0.000000
15.200000	3.040000	0.000000	0.000000	0.200000	0.000000	0.000000
15.300000	3.060000	0.000000	0.000000	0.200000	0.000000	0.000000
15.400000	3.080000	0.000000	0.000000	0.200000	0.000000	0.000000
15.500000	3.100000	0.000000	0.000000	0.200000	0.000000	0.000000
15.600000	3.120000	0.000000	0.000000	0.200000	0.000000	0.000000
15.700000	3.140000	0.000000	0.000000	0.200000	0.000000	0.000000
15.800000	3.160000	0.000000	0.000000	0.200000	0.000000	0.000000
15.900000	3.180000	0.000000	0.000000	0.200000	0.000000	0.000000
16.000000	3.200000	0.000000	0.000000	0.200000	0.000000	0.000000
16.100000	3.220000	0.000000	0.000000	0.200000	0.000000	0.000000
16.200000	3.240000	0.000000	0.000000	0.200000	0.000000	0.000000
16.300000	3.260000	0.000000	0.000000	0.200000	0.000000	0.000000
16.400000	3.280000	0.000000	0.000000	0.200000	0.000000	0.000000
16.500000	3.300000	0.000000	0.000000	0.200000	0.000000	0.000000
16.600000	3.320000	0.000000	0.000000	0.200000	0.000000	0.000000
16.700000	3.340000	0.000000	0.000000	0.200000	0.000000	0.000000
16.800000	3.360000	0.000000	0.000000	0.200000	0.000000	0.000000
16.900000	3.380000	0.000000	0.000000	0.200000	0.000000	0.000000
17.000000	3.400000	0.000000	0.000000	0.200000	0.000000	0.000000
17.100000	3.420000	0.000000	0.000000	0.200000	0.000000	0.000000
17.200000	3.440000	0.000000	0.000000	0.200000	0.000000	0.000000
17.300000	3.460000	0.000000	0.000000	0.200000	0.000000	0.000000
17.400000	3.480000	0.000000	0.000000	0.200000	0.000000	0.000000
17.500000	3.500000	0.000000	0.000000	0.200000	0.000000	0.000000
17.600000	3.520000	0.000000	0.000000	0.200000	0.000000	0.000000
17.700000	3.540000	0.000000	0.000000	0.200000	0.000000	0.000000
17.800000	3.560000	0.000000	0.000000	0.200000	0.000000	0.000000
